Company;ISIN;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
3M Company;US88579Y1010;MMM;1405105;US;CHF;XSWX;Registered Share;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
ABB Ltd;CH0012221716;ABBN;1222171;CH;CHF;XSWX;Registered Share;0.12;International Reporting Standard;US GAAP;27.03.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Abbott Laboratories;US0028241000;ABT;903037;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;No;;FALSE;
Accelleron Industries AG;CH1169360919;ACLN;116936091;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;US GAAP;06.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Addex Therapeutics Ltd;CH0029850754;ADXN;2985075;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;
Adecco Group AG;CH0012138605;ADEN;1213860;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;US GAAP;17.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Adval Tech Holding AG;CH0008967926;ADVN;896792;CH;CHF;XSWX;Registered Share;20.00;Swiss Reporting Standard;Swiss GAAP FER;15.05.2025;31.12.;Deloitte AG - CH[500420];No;;TRUE;
AEVIS VICTORIA SA;CH0478634105;AEVS;47863410;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Berney Associés Audit SA - CH[501382];No;;TRUE;
Airesis SA;CH0010947627;AIRE;1094762;CH;CHF;XSWX;Registered Share;0.25;International Reporting Standard;IFRS;16.06.2025;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;Out
Alcon Inc.;CH0432492467;ALC;43249246;CH;CHF;XSWX;Registered Share;0.04;International Reporting Standard;IFRS;06.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Allreal Holding AG;CH0008837566;ALLN;883756;CH;CHF;XSWX;Registered Share;1.00;Standard for Real Estate Companies;Swiss GAAP FER;25.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Alpine Select AG;CH0019199550;ALPN;1919955;CH;CHF;XSWX;Registered Share;0.02;Swiss Reporting Standard;Swiss GAAP FER;19.05.2025;31.12.;BDO AG - CH[500705];No;;TRUE;
ALSO Holding AG;CH0024590272;ALSN;2459027;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;19.03.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Aluflexpack AG;CH0453226893;AFP;45322689;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;21.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
ams-OSRAM AG;AT0000A3EPA4;AMS;137918297;AT;CHF;XSWX;Bearer Share;0.00;International Reporting Standard;IFRS;26.06.2025;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;Yes;Global Reporting Initiative (GRI);TRUE;
Anglo American plc;GB00B1XZS820;AAM;3186826;GB;CHF;XSWX;Registered Share;0.55;International Reporting Standard;;;;Deloitte & Touche LLP - GB;No;;FALSE;
