Year,Marketcap,Change
2025,$36.25 B,1.62%
2024,$35.67 B,6.18%
2023,$33.60 B,-35.93%
2022,$52.44 B,-3.98%
2021,$54.62 B,21.25%
2020,$45.04 B,27.26%
2019,$35.39 B,13.57%
2018,$31.16 B,6.55%
2017,$29.25 B,46.36%
2016,$19.98 B,221.3%
2015,$6.22 B,-76.17%
2014,$26.10 B,-14%
2013,$30.35 B,-28.71%
2012,$42.58 B,-12.27%
2011,$48.53 B,-28.59%
2010,$67.97 B,17.69%
2009,$57.75 B,93.61%
2008,$29.82 B,-63.13%
2007,$80.89 B,10.8%
2006,$73.01 B,43.53%
2005,$50.86 B,43.98%
2004,$35.33 B,10.85%
2003,$31.87 B,46.68%
2002,$21.73 B,-1.89%
2001,$22.14 B,-1.33%
2000,$22.44 B,-17.19%
1999,$27.10 B,
