Year,Marketcap,Change
2023,$2.69 B,-68.29%
2022,$8.48 B,-67.12%
2021,$25.81 B,-21.54%
2020,$32.90 B,-6.35%
2019,$35.13 B,19.43%
2018,$29.42 B,-39.19%
2017,$48.37 B,46.73%
2016,$32.97 B,-21.87%
2015,$42.20 B,-7.25%
2014,$45.50 B,-18.76%
2013,$56.01 B,51.78%
2012,$36.90 B,13.12%
2011,$32.62 B,-41.47%
2010,$55.73 B,-16.36%
2009,$66.63 B,93.32%
2008,$34.47 B,-52.44%
2007,$72.47 B,-17.33%
2006,$87.66 B,4.44%
2005,$83.94 B,51.71%
2004,$55.33 B,9.77%
2003,$50.41 B,72.41%
2002,$29.23 B,-50.34%
2001,$58.88 B,1.56%
2000,$57.97 B,-3.05%
1999,$59.79 B,27.51%
1998,$46.89 B,-0.64%
1997,$47.20 B,54.73%
1996,$30.50 B,-2.43%
1995,$31.26 B,
