Year,Marketcap,Change
2025,$2.59 B,3.06%
2024,$2.52 B,-37.9%
2023,$4.06 B,41.43%
2022,$2.87 B,-52.13%
2021,$5.99 B,135.78%
2020,$2.54 B,-29.82%
2019,$3.62 B,-23.52%
2018,$4.73 B,-40.46%
2017,$7.95 B,-1.24%
2016,$8.05 B,-7.61%
2015,$8.72 B,13.5%
2014,$7.68 B,29.93%
2013,$5.91 B,74.82%
2012,$3.38 B,-2.28%
2011,$3.46 B,20.25%
2010,$2.87 B,-15.68%
2009,$3.41 B,137.07%
2008,$1.44 B,-78.74%
2007,$6.77 B,81.14%
2006,$3.74 B,21.94%
2005,$3.06 B,19.15%
2004,$2.57 B,86.83%
2003,$1.37 B,15.43%
2002,$1.19 B,-69.27%
2001,$3.88 B,7.22%
2000,$3.62 B,-17.41%
1999,$4.38 B,-44.22%
1998,$7.86 B,-21.05%
1997,$9.96 B,24.27%
1996,$8.01 B,
