Year,Marketcap,Change
2025,$760.74 B,8.01%
2024,$704.31 B,27.28%
2023,$553.36 B,59.19%
2022,$347.61 B,31.56%
2021,$264.22 B,63.6%
2020,$161.50 B,28.34%
2019,$125.84 B,2.83%
2018,$122.38 B,31.6%
2017,$92.99 B,14.54%
2016,$81.19 B,-12.81%
2015,$93.12 B,21.54%
2014,$76.62 B,34.53%
2013,$56.95 B,0.73%
2012,$56.54 B,17.52%
2011,$48.11 B,19.17%
2010,$40.37 B,-1.6%
2009,$41.03 B,-10.38%
2008,$45.78 B,-24.4%
2007,$60.56 B,2.72%
2006,$58.95 B,-7.81%
2005,$63.95 B,-0.44%
2004,$64.23 B,-18.72%
2003,$79.03 B,10.88%
2002,$71.27 B,-19.21%
2001,$88.22 B,-15.85%
2000,$104.84 B,44.61%
1999,$72.50 B,-25.6%
1998,$97.44 B,26.03%
1997,$77.32 B,90.29%
1996,$40.63 B,
