Year,Marketcap,Change
2025,$13.52 B,6.95%
2024,$12.64 B,-15.16%
2023,$14.90 B,48.1%
2022,$10.06 B,-28.12%
2021,$14.00 B,-15.84%
2020,$16.63 B,110.33%
2019,$7.90 B,51.93%
2018,$5.20 B,-5.7%
2017,$5.52 B,36.53%
2016,$4.04 B,59.28%
2015,$2.53 B,13.66%
2014,$2.23 B,0.25%
2013,$2.22 B,85.75%
2012,$1.19 B,-10.95%
2011,$1.34 B,-59.2%
2010,$3.30 B,9.86%
2009,$3.00 B,8.08%
2008,$2.78 B,-58.14%
2007,$6.64 B,27.08%
2006,$5.22 B,15.27%
2005,$4.53 B,55.9%
2004,$2.90 B,42.77%
2003,$2.03 B,39.12%
2002,$1.46 B,-8.68%
2001,$1.60 B,54.52%
2000,$1.03 B,267.31%
1999,$0.28 B,148.15%
1998,$0.11 B,-24.16%
1997,$0.15 B,
