Year,Marketcap,Change
2025,$266.73 B,25.76%
2024,$212.10 B,-31.39%
2023,$309.15 B,-2.96%
2022,$318.59 B,-17.23%
2021,$384.89 B,15.55%
2020,$333.08 B,6.91%
2019,$311.54 B,29.1%
2018,$241.32 B,-9.02%
2017,$265.25 B,19.74%
2016,$221.53 B,-4.82%
2015,$232.74 B,-0.46%
2014,$233.81 B,-0.4%
2013,$234.76 B,12.73%
2012,$208.25 B,11.33%
2011,$187.06 B,-1.97%
2010,$190.81 B,13.23%
2009,$168.53 B,16.85%
2008,$144.22 B,-16.56%
2007,$172.84 B,20.65%
2006,$143.26 B,18.88%
2005,$120.51 B,14.49%
2004,$105.25 B,4.39%
2003,$100.83 B,-24.62%
2002,$133.75 B,-17.23%
2001,$161.60 B,-53.17%
2000,$345.11 B,29.59%
1999,$266.32 B,-2.44%
1998,$272.99 B,
