Year,Marketcap,Change
2025,$224.57 B,14.17%
2024,$196.70 B,-5.22%
2023,$207.53 B,6.35%
2022,$195.13 B,-0.68%
2021,$196.46 B,-9.78%
2020,$217.77 B,1.37%
2019,$214.83 B,8.9%
2018,$197.28 B,0.05%
2017,$197.18 B,13.99%
2016,$172.98 B,-17.02%
2015,$208.46 B,-6.94%
2014,$224.01 B,15.09%
2013,$194.64 B,27.77%
2012,$152.33 B,10.31%
2011,$138.09 B,2.61%
2010,$134.58 B,7.64%
2009,$125.03 B,10.95%
2008,$112.69 B,-8.36%
2007,$122.98 B,-8.82%
2006,$134.88 B,10.03%
2005,$122.58 B,-0.05%
2004,$122.65 B,8.31%
2003,$113.24 B,24.58%
2002,$90.90 B,-2.26%
2001,$93.00 B,-20.27%
2000,$116.64 B,21.34%
1999,$96.13 B,-28.38%
1998,$134.22 B,
