Year,Marketcap,Change
2025,$200.71 B,-4.31%
2024,$209.76 B,-10.17%
2023,$233.50 B,-6.18%
2022,$248.89 B,3.63%
2021,$240.18 B,17.19%
2020,$204.94 B,7.8%
2019,$190.10 B,22.13%
2018,$155.66 B,-8.72%
2017,$170.54 B,13.65%
2016,$150.05 B,3.71%
2015,$144.68 B,2.83%
2014,$140.70 B,10.95%
2013,$126.81 B,20.03%
2012,$105.65 B,1.85%
2011,$103.73 B,0.43%
2010,$103.28 B,8.55%
2009,$95.15 B,11.86%
2008,$85.06 B,-30.17%
2007,$121.81 B,18.9%
2006,$102.45 B,4.72%
2005,$97.83 B,11.63%
2004,$87.64 B,10.26%
2003,$79.48 B,9.33%
2002,$72.70 B,-14.97%
2001,$85.49 B,18.56%
2000,$72.11 B,40.6%
1999,$51.28 B,-14.7%
1998,$60.12 B,9.86%
1997,$54.72 B,19.94%
1996,$45.62 B,
