Year,Marketcap,Change
2025,$31.11 B,7.72%
2024,$28.88 B,-7.27%
2023,$31.14 B,9.76%
2022,$28.37 B,-2.73%
2021,$29.17 B,4.07%
2020,$28.03 B,2.27%
2019,$27.41 B,10.82%
2018,$24.73 B,-9.86%
2017,$27.44 B,18.14%
2016,$23.22 B,-11.92%
2015,$26.37 B,-3.68%
2014,$27.38 B,-0.42%
2013,$27.49 B,23%
2012,$22.35 B,13.99%
2011,$19.60 B,-13.95%
2010,$22.78 B,14.89%
2009,$19.83 B,17.62%
2008,$16.86 B,-16.63%
2007,$20.22 B,3.24%
2006,$19.59 B,1.1%
2005,$19.37 B,-25.48%
2004,$26.00 B,19.06%
2003,$21.84 B,-27.18%
2002,$29.99 B,-16.15%
2001,$35.77 B,3.82%
2000,$34.45 B,-34.55%
1999,$52.64 B,12%
1998,$47.00 B,
