Year,Marketcap,Change
2025,$19.02 B,-0.22%
2024,$19.06 B,20.05%
2023,$15.87 B,-8.82%
2022,$17.41 B,-30.08%
2021,$24.90 B,10.11%
2020,$22.62 B,9.44%
2019,$20.66 B,21.84%
2018,$16.96 B,-13.34%
2017,$19.57 B,26.35%
2016,$15.49 B,5.32%
2015,$14.71 B,-7.35%
2014,$15.87 B,-10.27%
2013,$17.69 B,4.44%
2012,$16.94 B,35.44%
2011,$12.51 B,-1.83%
2010,$12.74 B,30.07%
2009,$9.79 B,22.26%
2008,$8.01 B,-11.86%
2007,$9.09 B,7.16%
2006,$8.48 B,34.25%
2005,$6.31 B,15.68%
2004,$5.46 B,13.63%
2003,$4.80 B,30.6%
2002,$3.68 B,56.1%
2001,$2.35 B,
