Year,Marketcap,Change
2025,$0.39 B,12.06%
2024,$0.35 B,-30.86%
2023,$0.51 B,-1.36%
2022,$0.51 B,-9.59%
2021,$0.57 B,8.03%
2020,$0.53 B,-4.6%
2019,$0.55 B,31.89%
2018,$0.42 B,5.64%
2017,$0.39 B,132.49%
2016,$0.17 B,54.44%
2015,$0.11 B,3.74%
2014,$0.10 B,-8.96%
2013,$0.11 B,4.56%
2012,$0.11 B,11.59%
2011,$0.10 B,-4.71%
2010,$0.10 B,10.22%
2009,$96.11 M,-2.21%
2008,$98.28 M,-20.53%
2007,$0.12 B,17.55%
2006,$0.10 B,22.51%
2005,$85.87 M,-2.05%
2004,$87.68 M,10.41%
2003,$79.41 M,-26.03%
2002,$0.10 B,-12.05%
2001,$0.12 B,41.05%
2000,$86.54 M,-0.65%
1999,$87.11 M,-15.38%
1998,$0.10 B,0%
1997,$0.10 B,58.26%
1996,$65.05 M,
