Year,Marketcap,Change
2025,$103.83 B,6.2%
2024,$97.76 B,-2.14%
2023,$99.90 B,68.15%
2022,$59.41 B,-2.71%
2021,$61.06 B,19.25%
2020,$51.21 B,12.25%
2019,$45.62 B,-0.49%
2018,$45.84 B,-32.71%
2017,$68.14 B,17.28%
2016,$58.09 B,-21.57%
2015,$74.07 B,18.1%
2014,$62.72 B,-12.69%
2013,$71.84 B,21.8%
2012,$58.98 B,33.06%
2011,$44.32 B,-29.02%
2010,$62.45 B,14.38%
2009,$54.60 B,33.02%
2008,$41.05 B,-53.41%
2007,$88.11 B,-24.75%
2006,$117.08 B,150.02%
2005,$46.83 B,9.17%
2004,$42.89 B,6.66%
2003,$40.21 B,44.21%
2002,$27.88 B,-10.07%
2001,$31.01 B,167.33%
2000,$11.60 B,
