Year,Marketcap,Change
2025,$98.34 B,14.19%
2024,$86.12 B,12.65%
2023,$76.45 B,7.8%
2022,$70.92 B,8.99%
2021,$65.07 B,3.43%
2020,$62.91 B,3.65%
2019,$60.69 B,38.32%
2018,$43.88 B,-3.58%
2017,$45.51 B,10.55%
2016,$41.16 B,5.53%
2015,$39.01 B,-16.6%
2014,$46.77 B,8.78%
2013,$43.00 B,8.72%
2012,$39.55 B,19.85%
2011,$33.00 B,-12.3%
2010,$37.62 B,18.42%
2009,$31.77 B,6.64%
2008,$29.79 B,-27.38%
2007,$41.03 B,5.53%
2006,$38.88 B,26.9%
2005,$30.64 B,27.99%
2004,$23.94 B,15.49%
2003,$20.72 B,0%
2002,$20.72 B,-26.76%
2001,$28.29 B,-69.48%
2000,$92.71 B,
