symbol,year,z_score,distressed,totalCurrentAssets,totalAssets,retainedEarnings,ebitda,depreciationAndAmortization_income_statement,totalLiabilities,marketcap,revenue
MMM.SW,2024,4.07,0,15884000000.0,39868000000.0,36797000000.0,7373000000,1363000000.0,35974000000.0,70890000000.0,24575000000
MMM.SW,2023,2.29,0,16379000000.0,50580000000.0,37479000000.0,-6759000000,1987000000.0,45712000000.0,60370000000.0,32681000000
MMM.SW,2022,4.27,0,14688000000.0,46455000000.0,47950000000.0,8274000000,1831000000.0,31685000000.0,66280000000.0,34229000000
MMM.SW,2021,4.96,0,15403000000.0,47072000000.0,45821000000.0,9669000000,1915000000.0,31955000000.0,101570000000.0,35355000000
ABBN.SW,2024,4.98,0,20850000000.0,40357000000.0,20717000000.0,6134000000,802000000.0,25297000000.0,100950000000.0,32850000000
ABBN.SW,2023,4.32,0,21277000000.0,40940000000.0,19724000000.0,5833000000,780000000.0,26794000000.0,81650000000.0,32235000000
ABBN.SW,2022,3.68,0,19570000000.0,39148000000.0,20082000000.0,4338000000,814000000.0,25876000000.0,56840000000.0,29446000000
ABBN.SW,2021,4.39,0,18695000000.0,40260000000.0,22477000000.0,6828000000,893000000.0,24303000000.0,74800000000.0,28945000000
ABT.SW,2024,5.55,0,23656000000.0,81414000000.0,47261000000.0,10790000000,3218000000.0,33513000000.0,199440000000.0,41950000000
ABT.SW,2023,5.3,0,22670000000.0,73214000000.0,37554000000.0,10544000000,3243000000.0,34387000000.0,191080000000.0,40109000000
ABT.SW,2022,5.12,0,25224000000.0,74438000000.0,35257000000.0,12380000000,3267000000.0,37533000000.0,191420000000.0,43653000000
ABT.SW,2021,5.76,0,24239000000.0,75196000000.0,31528000000.0,12742000000,3538000000.0,39172000000.0,248860000000.0,43075000000
ACLN.SW,2023,4.1,0,763331000.0,1206801000.0,224008000.0,171434000,30128000.0,903899000.0,2920000000.0,914859000
ACLN.SW,2022,3.97,0,614904000.0,981551000.0,122801000.0,179783000,22745000.0,685045000.0,1960000000.0,780538000
ADXN.SW,2023,-113.64,0,4234605.0,4641885.0,-360418242.0,-10228664,305952.0,3496420.0,6490000.0,1612953
ADXN.SW,2022,-64.61,0,7828961.0,8282050.0,-349862015.0,-20432172,323144.0,3369139.0,8400000.0,1422438
ADXN.SW,2021,-16.77,0,21941776.0,22541784.0,-329057802.0,-14941292,347613.0,5610684.0,43110000.0,2916308
ADXN.SW,2020,-15.86,0,19489564.0,20181812.0,-313705888.0,-12410344,378754.0,5572009.0,61760000.0,3612819
ADEN.SW,2024,3.23,0,5080000000.0,12099000000.0,3269000000.0,760000000,244000000.0,8513000000.0,4140000000.0,23138000000
ADEN.SW,2023,3.55,0,5488000000.0,12430000000.0,3398000000.0,841000000,257000000.0,8829000000.0,8250000000.0,23957000000
ADEN.SW,2023,3.55,0,5488000000.0,12430000000.0,3398000000.0,841000000,257000000.0,8829000000.0,8250000000.0,23957000000
ADEN.SW,2022,3.17,0,6124000000.0,13256000000.0,3412000000.0,770000000,270000000.0,9363000000.0,5500000000.0,23640000000
