,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,distressed
0,2024-12-31,MMM.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,4188000000,1363000000.0,321000000,289000000.0,-71000000.0,114000000.0,41000000.0,46000000.0,-272000000.0,-4271000000,1819000000.0,-1181000000.0,0.0,-4153000000.0,2074000000.0,54000000.0,-3206000000.0,5506000000.0,0.0,-1801000000.0,-1982000000.0,-625000000.0,1098000000.0,-44000000.0,-333000000,5600000000,5933000000,1819000000.0,-1181000000.0,638000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
1,2023-12-31,MMM.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,-6995000000,1987000000.0,-3855000000,274000000.0,317000000.0,-170000000.0,567000000.0,138000000.0,-218000000.0,14952000000,6680000000.0,-1615000000.0,60000000.0,-1466000000.0,1660000000.0,154000000.0,-1207000000.0,-46000000.0,0.0,-33000000.0,-3311000000.0,243000000.0,-3147000000.0,-48000000.0,2278000000,5933000000,3655000000,6680000000.0,-1615000000.0,5065000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
2,2022-12-31,MMM.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,5791000000,1831000000.0,-663000000,263000000.0,-670000000.0,-105000000.0,-629000000.0,111000000.0,-47000000.0,-961000000,5591000000.0,-1749000000.0,491000000.0,-1250000000.0,1261000000.0,201000000.0,-1046000000.0,-1179000000.0,0.0,-1464000000.0,-3369000000.0,661000000.0,-5350000000.0,-104000000.0,-909000000,3655000000,4564000000,5591000000.0,-1749000000.0,3842000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
3,2021-12-31,MMM.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,5929000000,1915000000.0,-166000000,274000000.0,-751000000.0,-122000000.0,-903000000.0,518000000.0,-244000000.0,253000000,7454000000.0,-1603000000.0,0.0,-2202000000.0,2406000000.0,82000000.0,-1317000000.0,-1144000000.0,0.0,-2199000000.0,-3420000000.0,619000000.0,-6145000000.0,-62000000.0,-70000000,4564000000,4634000000,7454000000.0,-1603000000.0,5851000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
4,2024-12-31,ABBN.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,3952000000,802000000.0,0,0.0,-143000000.0,-179000000.0,-101000000.0,0.0,137000000.0,64000000,4675000000.0,-845000000.0,-665000000.0,-1563000000.0,2257000000.0,91000000.0,-725000000.0,-589000000.0,451000000.0,-1247000000.0,-1769000000.0,-172000000.0,-3326000000.0,-207000000.0,417000000,4326000000,3909000000,4675000000.0,-845000000.0,3830000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
5,2023-12-31,ABBN.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,3745000000,780000000.0,-25000000,0.0,-127000000.0,-661000000.0,-3000000.0,-106000000.0,643000000.0,-83000000,4290000000.0,-770000000.0,305000000.0,-2066000000.0,759000000.0,157000000.0,-1615000000.0,-346000000.0,482000000.0,-1258000000.0,-1713000000.0,-1099000000.0,-2897000000.0,-43000000.0,-265000000,3909000000,4174000000,4290000000.0,-770000000.0,3520000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
6,2022-12-31,ABBN.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,2637000000,814000000.0,-348000000,42000000.0,-1683000000.0,-831000000.0,-1599000000.0,395000000.0,352000000.0,-175000000,1287000000.0,-762000000.0,1253000000.0,-487000000.0,770000000.0,207000000.0,981000000.0,-2703000000.0,610000000.0,-3553000000.0,-1698000000.0,1711000000.0,-2394000000.0,-189000000.0,-315000000,4174000000,4489000000,1287000000.0,-762000000.0,525000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
7,2021-12-31,ABBN.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,4730000000,893000000.0,-289000000,59000000.0,308000000.0,-142000000.0,-771000000.0,659000000.0,562000000.0,117000000,3330000000.0,-820000000.0,2717000000.0,-1649000000.0,2353000000.0,-294000000.0,2307000000.0,-1538000000.0,826000000.0,-3708000000.0,-1726000000.0,687000000.0,-4968000000.0,-81000000.0,588000000,4489000000,3901000000,3330000000.0,-820000000.0,2510000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
8,2024-12-31,ABT.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,13402000000,3218000000.0,0,673000000.0,-9217000000.0,-691000000.0,-58000000.0,356000000.0,-8824000000.0,482000000,8558000000.0,-2207000000.0,1000000.0,-169000000.0,28000000.0,9000000.0,-2338000000.0,-537000000.0,0.0,-1295000000.0,-3836000000.0,264000000.0,-5404000000.0,-96000000.0,720000000,7616000000,6896000000,8558000000.0,-2207000000.0,6351000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
9,2023-12-31,ABT.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,5723000000,3243000000.0,0,644000000.0,-2475000000.0,-356000000.0,-232000000.0,-760000000.0,-1127000000.0,126000000,7261000000.0,-2202000000.0,-837000000.0,-159000000.0,43000000.0,22000000.0,-3133000000.0,-2498000000.0,0.0,-1227000000.0,-3556000000.0,167000000.0,-7091000000.0,-23000000.0,-2986000000,6896000000,9882000000,7261000000.0,-2202000000.0,5059000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
