,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2023-12-31,ARON.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,7854866,0,7854866,3584000,-3584000,8471861,19910727,18866,0,0,0,1000,0,149167938,149187804,0,169098531,734610,65729866,5135673,11250,2045182,78580640,89638697,-2310414,2310414,0,91949111,0,17675,170529751,0,19685287,-14219069,-9575726,-1,-4695116,-1431220,169098531,3263896,169098531,1000,155386238,147531372,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
1,2022-12-31,ARON.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,1868133,0,1868133,2795550,0,729149,5392832,22035947,0,0,0,1000,0,168001518,190038465,0,195431297,1197159,1888282,13815,0,1474489,10562142,163358643,163358643,8314275,0,171672918,0,0,182235060,6870229,16362693,1225024,-6870229,-13740459,9644690,13196237,195431297,3551547,195431297,1000,165246925,163378792,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
2,2021-12-31,ARON.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,5015184,0,5015184,2673337,0,531729,8220250,25077450,0,0,0,0,0,177721105,202798555,0,211018805,2506585,3233838,9870,0,1371011,11882440,168503639,168503639,7827138,0,176330777,0,45252,188213217,1208792,16362693,4774889,-1208792,-2417584,19327218,22805588,211018805,3478370,211018805,0,171782729,166767545,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
3,2020-12-31,ARON.SW,USD,0,2020-12-31,2020-12-30 19:00:00,2020,FY,1263386,0,1263386,1421543,0,388364,3073293,25749057,0,0,0,0,0,196738293,222487350,0,225560643,2552417,2018352,200753,0,1582229,9130034,170388539,170388539,7735191,0,178123730,0,86627,187253764,0,16362693,17339544,1353868,0,34479810,38306879,225560643,3827069,225560643,0,172493518,171230132,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
4,2020-12-31,BLS.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,673477,317738,991215,0,0,3769655,4760870,11328867,77630455,10824423,88454878,0,15506,2,99799253,0,104560123,639606,1224914,0,0,1028945,2893465,12639158,-16688621,5913983,16817841,18682361,0,1281514,21575826,0,21350000,-8318591,-1599602,27564024,38995831,38995831,60571657,0,60571657,317738,13864072,13190595,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
5,2019-12-31,BLS.SW,CHF,0,2019-12-31,2019-12-30 19:00:00,2019,FY,840829,384782,1225611,0,0,1157391,2383002,12641356,82998665,12776198,95774863,0,8380,203607,108628206,0,111011208,338784,207276,0,0,767652,1313712,29372933,-35994945,7168072,36064782,36610842,0,0,37924554,0,21350000,-22141283,-334466,26092035,24966286,24966286,62890840,0,62890840,384782,29580209,28739380,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
6,2018-12-31,BLS.SW,CHF,0,2018-12-31,2018-12-30 19:00:00,2018,FY,38870,586383,625253,0,0,2350522,2975775,23126209,0,0,0,18981381,0,3234764,45342354,0,48318129,229474,4448859,0,0,450695,5129028,28326107,0,0,119102,28445209,0,0,33574237,0,21350000,-29907080,0,23387964,14830884,14830884,48405121,0,48405121,19567764,32774966,32736096,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
7,2017-12-31,BLS.SW,CHF,0,2017-12-31,2017-12-30 19:00:00,2017,FY,3720169,957541,4677710,0,0,567810,5245520,22860779,0,0,0,39099819,0,1960408,63921006,0,69166526,93511,29530060,0,0,222623,29846194,3770384,0,0,-1,3770383,0,0,33616577,0,21350000,-7172813,0,21425878,35603065,35603065,69219642,0,69219642,40057360,33300444,29580275,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
8,2021-12-31,CASN.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,17182000,0,17182000,340000,0,0,17522000,0,0,0,0,653000,0,-653000,653000,0,18175000,80000,0,6663000,0,-80000,80000,0,0,0,80000,80000,7273000,0,7433000,0,260000,10182000,0,0,10442000,10442000,18175000,0,18175000,653000,0,-17182000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
9,2020-12-31,CASN.SW,USD,0,2020-12-31,2020-12-30 19:00:00,2020,FY,11485000,0,11485000,2018000,0,0,13503000,0,0,0,0,69420000,0,-69420000,69420000,0,82923000,0,0,0,0,0,0,0,0,0,0,0,850000,0,850000,0,260000,56534000,0,23947000,80741000,80741000,82923000,0,82923000,69420000,0,-11485000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
