,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2023-12-31,ARON.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,-16483231,292107,0,51832,-929294,-877737,0,0,565141,5189187,-2818908,-169024,0,0,0,20799076,20630052,-11865136,0,0,0,0,-11865136,45776,5991784,7859917,1868133,-2818908,-169024,-2987932,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
1,2022-12-31,ARON.SW,USD,0,2022-12-31,2022-12-31 00:00:00,2022,FY,-3254042,424370,-129013,129013,-2704687,-809645,0,0,-1895042,4624067,-910292,-10520,0,-1000,0,535,-10985,-2164658,0,0,0,0,-2164658,-61116,-3147051,1868133,5015184,-910292,-10520,-920812,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
2,2021-12-31,ARON.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,-12156382,468030,-107296,107296,-1709403,-1404083,0,0,-305320,11459155,-1938600,-47562,0,0,0,66,-47496,-1841896,0,0,0,-150000,5758104,-20210,3751798,5015184,1263386,-1938600,-47562,-1986162,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
3,2020-12-31,ARON.SW,USD,0,2020-12-31,2020-12-30 19:00:00,2020,FY,11408577,441074,0,0,-1263180,-434365,0,0,-828815,-11583882,-997411,-16780,0,0,0,4083,-12697,-1218226,0,0,0,0,-1190937,58581,-2142464,1263386,3405850,-997411,-16780,-1014191,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
4,2020-12-31,BLS.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,17735520,1377000,0,260000,982000,0,0,0,0,-22715520,-2361000,-72000,0,0,0,194000,122000,0,0,0,0,2146000,2146000,-75000,-168000,673000,841000,-2361000,-72000,-2433000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
5,2019-12-31,BLS.SW,CHF,0,2019-12-31,2019-12-30 19:00:00,2019,FY,5311582,516249,0,0,2426490,0,0,0,0,-8447287,-192966,-166953,0,0,0,2444774,2277821,-1408039,0,0,0,-1296351,-1296351,13455,801959,840829,38870,-192966,-166953,-359919,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
6,2018-12-31,BLS.SW,CHF,0,2018-12-31,2018-12-30 19:00:00,2018,FY,-22619295,54248,0,316218,283185,0,0,0,0,20684637,-1281007,-319678,-55000,-1188280,415614,-1507955,-2655299,-73751,580502,-674740,0,115981,115981,139026,-3681299,38870,3720169,-1281007,-319678,-1600685,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
7,2017-12-31,BLS.SW,CHF,0,2017-12-31,2017-12-30 19:00:00,2017,FY,3853465,58332,0,0,-240707,0,0,0,0,-4752418,-1081328,-212858,2314318,-138730,0,-237553,1725177,-206000,493510,0,0,2923338,2923338,-74794,3492393,3720169,227776,-1081328,-212858,-1294186,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
8,2021-12-31,CASN.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,417000,0,0,0,0,0,0,0,0,-417000,0,0,0,0,0,0,0,0,0,0,-64053000,-1163000,-65216000,259000,5697000,17182000,11485000,0,0,0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
9,2020-12-31,CASN.SW,USD,0,2020-12-31,2020-12-30 19:00:00,2020,FY,3574000,0,0,0,0,0,0,0,0,-3574000,0,0,0,0,0,0,0,0,0,-899000,0,-1350000,-1350000,333000,70000,11485000,11415000,0,0,0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
10,2019-12-31,CASN.SW,USD,0,2019-12-31,2019-12-30 19:00:00,2019,FY,6352000,0,0,0,0,0,0,0,0,-6352000,0,0,0,0,0,0,0,-7000000,0,-57820000,0,-65088000,-65088000,264000,6798000,11415000,4617000,0,0,0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
11,2018-12-31,CASN.SW,USD,0,2018-12-31,2018-12-30 19:00:00,2018,FY,-8292000,0,0,0,0,0,0,0,0,8292000,0,0,0,0,0,0,0,-6568000,0,-25155000,0,-42618000,-42618000,1000,2836000,4617000,1781000,0,0,0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
12,2022-12-31,CSGN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,-7306000000,1737000000,3810000000,779000000,-6024000000,0,0,0,0,20824000000,13820000000,-1438000000,-286000000,-1230000000,783000000,57713000000,55542000000,-49644000000,3924000000,-229000000,-280000000,-163603000000,-163883000000,-1819000000,-96340000000,68478000000,164818000000,13820000000,-1438000000,12382000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
13,2021-12-31,CSGN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,-1626000000,3041000000,225000000,922000000,2086000000,0,0,0,0,32290000000,36938000000,-1419000000,-2049000000,-630000000,800000000,-6784000000,-10082000000,-52965000000,20858000000,-21915000000,-257000000,210000000,-47000000,-1103000000,25706000000,164818000000,139112000000,36938000000,-1419000000,35519000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
