,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2023-12-31,ARON.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,8312403,2521018,5791385,0.6967161,0,1996212,1476905,1996212,206152,2333290,4854308,47815,4924959,292107,-11941144,-0.8646241045,13925218,1.6752337441,-31083428,-17158210,-2.0641696511,-2737522,-16095345,-1.9363047003,-1.08,-1.08,14881122,14881122,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
1,2022-12-31,ARON.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,8593429,2458194,6135235,0.7139449223000001,0,2680329,0,2680329,-514834,2165495,4623689,535,5194985,424370,4517530,0.41235448620000004,3119169,0.3629714052,-5193944,-2075816,-0.2415585211,1178226,-3254042,-0.3786663042,-0.22,-0.22,14742057,14742057,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
2,2021-12-31,ARON.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,9700780,3265861,6434919,0.6633403706000001,0,3765365,0,3765365,353166,4118531,7384392,66,5029457,468030,2784418,-0.660061459,2316388,0.2387836854,-8402233,-11900598,-1.2267671259,255784,-12156382,-1.2531344902,-0.8200000000000001,-0.8200000000000001,14905650,14905650,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
3,2020-12-31,ARON.SW,USD,0,2020-12-31,2020-12-30 19:00:00,2020,FY,9383120,3580142,5802978,0.6184486610000001,0,2717254,0,2717254,339333,3056587,6636729,4083,4438372,441074,3267850,2.0963636829,15967200,1.7016941060000002,-1095829,14871371,1.5849068327,3462794,10663457,1.1364510952,0.71,0.71,14956820,14956820,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
4,2020-12-31,BLS.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,9480,0,9480,1.0,258667,966429,52398,1018827,3163904,4441398,4441398,53367,643853,1377000,19601243,2067.6416666667,18224243,1922.3885021097,-1159213,17065030,1800.108649789,-155130,17220160,1816.4725738397,0.24,0.24,70345153,70345153,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
5,2019-12-31,BLS.SW,CHF,0,2019-12-31,2019-12-30 19:00:00,2019,FY,20866,179,20687,0.9914214512,0,535420,78779,614199,1653851,2268050,2268229,30735,336703,516249,6276323,300.7918623598,5760074,276.0507044954,-703580,5056494,242.3317358382,111789,4944705,236.9742643535,0.12,0.12,42693070,42693070,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
6,2018-12-31,BLS.SW,CHF,0,2018-12-31,2018-12-30 19:00:00,2018,FY,0,0,0,0.0,0,764726,24509,789235,1026488,1815723,1815723,138250,990995,54248,-21574052,0.0,-21628300,0.0,-1030737,-22659037,0.0,990995,-23650032,0.0,-0.5700000000000001,-0.5700000000000001,41512138,41512138,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
7,2017-12-31,BLS.SW,CHF,0,2017-12-31,2017-12-30 19:00:00,2017,FY,0,92161,-92161,0.0,0,313813,241568,555381,579321,1134702,1226863,7666,313311,58332,4231703,0.0,4173371,0.0,-334013,3839358,0.0,6595,3832763,0.0,0.0907,0.0907,42238836,42238836,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
8,2021-12-31,CASN.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,1738000,0,1738000,1.0,0,1069000,0,1069000,124000,1193000,1193000,0,3000,-128000,420000,0.2416570771,548000,0.3153049482,-3000,545000,0.3135788262,128000,417000,0.2399309551,0.0039000000000000003,0.0039000000000000003,107486000,107486000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
9,2020-12-31,CASN.SW,USD,0,2020-12-31,2020-12-30 19:00:00,2020,FY,4400000,0,4400000,1.0,0,752000,0,752000,-1577000,-825000,-825000,12000,1000,206297,3575000,0.8125,3575000,0.8125,-51000,3524000,0.8009090909000001,-50000,3574000,0.8122727273,0.71,0.71,5046422,5046422,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
