,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,distressed
0,2024-12-31,MMM.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,24575000000,14447000000,10128000000,0.4121261445,1085000000.0,0.0,0.0,4221000000.0,0.0,5306000000,19753000000,452000000.0,1191000000.0,1363000000.0,7373000000,0.3000203459,4822000000,0.1962156663,-3000000,4819000000,0.196093591,804000000.0,4173000000,0.1698067141,7.58,7.55,550600000,552700000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
1,2023-12-31,MMM.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,32681000000,18477000000,14204000000,0.4346256235,1842000000.0,21397000000.0,-2328000000.0,21526000000.0,-36000000.0,23332000000,41809000000,250000000.0,941000000.0,1987000000.0,-6759000000,-0.20681741680000001,-9128000000,-0.2793060188,-542000000,-9670000000,-0.2958905786,-2691000000.0,-6995000000,-0.21403873810000001,-12.63,-12.63,553900000,553900000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
2,2022-12-31,MMM.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,34229000000,19232000000,14997000000,0.43813725200000003,1862000000.0,8801000000.0,248000000.0,9049000000.0,-147000000.0,10911000000,30143000000,67000000.0,462000000.0,1831000000.0,8274000000,0.0477080838,-198000000,-0.0057845686000000006,-147000000,6392000000,0.18674223610000001,612000000.0,5777000000,0.1687750153,10.21,10.18,566000000,567600000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
3,2021-12-31,MMM.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,35355000000,18795000000,16560000000,0.4683920238,1994000000.0,7197000000.0,0.0,7197000000.0,-165000000.0,9191000000,27986000000,26000000.0,488000000.0,1915000000.0,9669000000,0.2084287937,5454000000,0.1542638948,-165000000,7204000000,0.20376184420000001,1285000000.0,5921000000,0.1674727761,10.23,10.12,579000000,585300000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
4,2024-12-31,ABBN.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,32850000000,20576000000,12274000000,0.3736377473,1469000000.0,2154000000.0,3554000000.0,5708000000.0,26000000.0,7203000000,27779000000,206000000.0,99000000.0,802000000.0,6134000000,0.1867275495,5071000000,0.1543683409,162000000,5233000000,0.1592998478,1278000000.0,3935000000,0.1197869102,2.13,2.13,1846000000,1851000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
5,2023-12-31,ABBN.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,32235000000,21021000000,11214000000,0.3478827362,1317000000.0,2128000000.0,3415000000.0,5543000000.0,-517000000.0,6343000000,27364000000,165000000.0,275000000.0,780000000.0,5833000000,0.18095238100000002,4871000000,0.151109043,-93000000,4778000000,0.1482239801,930000000.0,3745000000,0.1161780673,2.03,2.02,1853960396,1867000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
6,2022-12-31,ABBN.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,29446000000,19736000000,9710000000,0.3297561638,1166000000.0,1884000000.0,3248000000.0,5132000000.0,75000000.0,6373000000,26109000000,72000000.0,130000000.0,814000000.0,4338000000,0.1473205189,3337000000,0.11332608840000001,57000000,3394000000,0.11526183520000001,757000000.0,2475000000,0.0840521633,1.3,1.3,1899000000,1910000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
7,2021-12-31,ABBN.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,28945000000,19478000000,9467000000,0.3270685783,1219000000.0,1881000000.0,3281000000.0,5162000000.0,-2632000000.0,3749000000,23227000000,51000000.0,148000000.0,893000000.0,6828000000,0.23589566420000002,5718000000,0.19754707200000002,69000000,5787000000,0.1999309034,1057000000.0,4546000000,0.1570564864,2.27,2.25,2001000000,2019000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
8,2024-12-31,ABT.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,41950000000,18706000000,23244000000,0.5540882002,2844000000.0,0.0,0.0,11697000000.0,1878000000.0,16419000000,35125000000,344000000.0,559000000.0,3218000000.0,10790000000,0.2572109654,6825000000,0.162693683,188000000,7013000000,0.1671752086,-6389000000.0,13402000000,0.3194755662,7.7,7.67,1739466000,1747597000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
9,2023-12-31,ABT.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,40109000000,17919000000,22190000000,0.5532424144,2741000000.0,0.0,0.0,10385000000.0,2586000000.0,15712000000,33631000000,385000000.0,637000000.0,3243000000.0,10544000000,0.26288364210000004,6478000000,0.1615098856,186000000,6664000000,0.1661472487,941000000.0,5723000000,0.1426861802,3.26,3.27,1755521472,1749000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
