year,marketcap,Change,symbol
2025,36250000000,1.62%,AAM.SW
2024,35670000000,6.18%,AAM.SW
2023,33600000000,-35.93%,AAM.SW
2022,52440000000,-3.98%,AAM.SW
2021,54620000000,21.25%,AAM.SW
2020,45040000000,27.26%,AAM.SW
2019,35390000000,13.57%,AAM.SW
2018,31160000000,6.55%,AAM.SW
2017,29250000000,46.36%,AAM.SW
2016,19980000000,221.3%,AAM.SW
2015,6220000000,-76.17%,AAM.SW
2014,26100000000,-14%,AAM.SW
2013,30350000000,-28.71%,AAM.SW
2012,42580000000,-12.27%,AAM.SW
2011,48530000000,-28.59%,AAM.SW
2010,67970000000,17.69%,AAM.SW
2009,57750000000,93.61%,AAM.SW
2008,29820000000,-63.13%,AAM.SW
2007,80890000000,10.8%,AAM.SW
2006,73010000000,43.53%,AAM.SW
2005,50860000000,43.98%,AAM.SW
2004,35330000000,10.85%,AAM.SW
2003,31870000000,46.68%,AAM.SW
2002,21730000000,-1.89%,AAM.SW
2001,22140000000,-1.33%,AAM.SW
2000,22440000000,-17.19%,AAM.SW
1999,27100000000,,AAM.SW
2025,104080000000,3.09%,ABBN.SW
2024,100950000000,23.64%,ABBN.SW
2023,81650000000,43.63%,ABBN.SW
2022,56840000000,-24%,ABBN.SW
2021,74800000000,31.41%,ABBN.SW
2020,56920000000,10.58%,ABBN.SW
2019,51470000000,27.03%,ABBN.SW
2018,40520000000,-28.87%,ABBN.SW
2017,56960000000,26.29%,ABBN.SW
2016,45100000000,13.22%,ABBN.SW
2015,39830000000,-17.53%,ABBN.SW
2014,48300000000,-20.66%,ABBN.SW
2013,60880000000,29.08%,ABBN.SW
2012,47170000000,9.53%,ABBN.SW
2011,43060000000,-15.38%,ABBN.SW
2010,50890000000,13.56%,ABBN.SW
2009,44820000000,29.16%,ABBN.SW
2008,34700000000,-48.01%,ABBN.SW
2007,66730000000,70.27%,ABBN.SW
2006,39190000000,94.77%,ABBN.SW
2005,20120000000,74.58%,ABBN.SW
2004,11520000000,9.81%,ABBN.SW
2003,10490000000,148%,ABBN.SW
2002,4230000000,-73.52%,ABBN.SW
