,0,1,2,3,4,todo,comment
Unnamed: 0.1,0,1,2,3,4,drop,
Unnamed: 0_x,0,1,2,3,4,drop,
date,31/12/2024,31/12/2023,31/12/2022,31/12/2021,31/12/2024,keep,
symbol,MMM.SW,MMM.SW,MMM.SW,MMM.SW,ABBN.SW,keep,
reportedCurrency_x,USD,USD,USD,USD,USD,check,currency of balance sheet
cik_x,0,0,0,0,0,drop,
fillingDate_x,31/12/2024,31/12/2023,31/12/2022,31/12/2021,31/12/2024,drop,
acceptedDate_x,31/12/2024 00:00,30/12/2023 19:00,30/12/2022 19:00,30/12/2021 19:00,31/12/2024 00:00,drop,
calendarYear_x,2024,2023,2022,2021,2024,check,merge into year
period_x,FY,FY,FY,FY,FY,drop,its all FY (fiscal year)
cashAndCashEquivalents,5600000000,5933000000,3655000000,4564000000,4311000000,keep,
shortTermInvestments,2128000000,53000000,238000000,201000000,1334000000,keep,
cashAndShortTermInvestments,7728000000,5986000000,3893000000,4765000000,5645000000,keep,
netReceivables,3272000000,4864000000,4532000000,4660000000,0,keep,
inventory_x,3698000000,4822000000,5372000000,4985000000,5859000000,check,inventory of balance sheet
otherCurrentAssets,750000000,222000000,456000000,339000000,9059000000,keep,
totalCurrentAssets,15884000000,16379000000,14688000000,15403000000,20850000000,keep,
propertyPlantEquipmentNet,7953000000,9918000000,10007000000,10287000000,5017000000,keep,
goodwill,6281000000,12927000000,12790000000,13486000000,10555000000,keep,
intangibleAssets,1210000000,4226000000,4699000000,5288000000,1048000000,keep,
goodwillAndIntangibleAssets,7491000000,17153000000,17489000000,18774000000,11603000000,keep,
longTermInvestments,2505000000,244000000,967000000,262000000,-966000000,keep,
taxAssets,4146000000,0,959000000,581000000,1341000000,keep,
otherNonCurrentAssets,1889000000,6886000000,2345000000,1765000000,2512000000,keep,
totalNonCurrentAssets,23984000000,34201000000,31767000000,31669000000,19507000000,keep,
otherAssets,0,0,0,0,0,keep,
totalAssets,39868000000,50580000000,46455000000,47072000000,40357000000,keep,
accountPayables,2660000000,2776000000,3183000000,2994000000,5036000000,keep,
shortTermDebt,1919000000,2947000000,1938000000,1307000000,293000000,keep,
taxPayables,515000000,582000000,259000000,260000000,874000000,keep,
deferredRevenue,15000000,11000000,538000000,529000000,0,keep,
otherCurrentLiabilities,4665000000,6630000000,2150000000,2090000000,8075000000,keep,
totalCurrentLiabilities,11256000000,15297000000,9523000000,9035000000,15216000000,keep,
longTermDebt,11125000000,13088000000,14103000000,16056000000,6652000000,keep,
deferredRevenueNonCurrent,0,-70000000,0,-458000000,0,keep,
deferredTaxLiabilitiesNonCurrent,354000000,315000000,559000000,458000000,675000000,keep,
otherNonCurrentLiabilities,12787000000,16418000000,7404000000,6180000000,2123000000,keep,
totalNonCurrentLiabilities,24718000000,30415000000,22162000000,22920000000,10081000000,keep,
otherLiabilities,0,0,0,0,0,keep,
